619,97	255,24	621,18	992,66	213,42	736,74	273,98	168,48
109,73	454,75	429,09	244,62	213,32	980,14	56,24	240,05
24,71	493,1	223,13	875,77	557,62	333,2	577,91	123,82
84,06	283,99	491,6	632,58	478,92	564,95	815,82	566,83
65,29	478,19	886,82	710,16	196,26	790,48	409,97	703,69
320,29	854,1	864,48	171,06	650,62	473,51	687,99	757,32
414,97	963,92	237,03	662,91	164,52	501,39	629,14	915,42
743,69	604,25	253,37	627,62	658,45	807,75	722,74	753,57
664,12	506,29	139,16	569,3	825,95	579,84	793,1	389,85
570,5	821,07	508,61	947,34	564,69	883,92	869,96	470,13
602,49	80,2	84,89	565,7	832,03	690,27	935,81	48,48
289,02	158,73	778,41	984,83	931,54	329,1	148,71	976,18
